SCROLL RIGHT (AND DOWN) FOR DEPTH-ZONE EnergyBudget and ConsumptionBudget matrices-->>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NOTE: active link to total consumption (q) from from STEP 8 (Production_base(:,1)) in ECOTRANstatic_GoMexOcn_12282021.m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Model: NCC2_05092022.xlsm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NOTE: calculated from depth-integrated model using total phytoplankton production driver = 0.0199 (mmoles N/m3/d) from {Hidalgo-Gonzalez, 2005 #96} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,error-checking,,,,,,,,
,EnergyBudget,,"Get these terms from: ECOTRANstatic_NCC_05092022.m; dlmwrite('RegionalEnergyBudget.csv', ECOTRAN.EnergyBudget, 'delimiter', ',', 'precision', 9 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSUMPTION (Q),,,,,"NOTE: NO3 q value set to PPnew rate, NH4 q value set to PPrecycled rate (see file ""GoMexOcn_PP_and_AdvecRates_12282021.xlsx""); NOTE; NH4 value returned by ECOTRANstatic = 0.0143 (mmoles N/m3/d)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,spatially integrated,,producers along columns ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spatially integrated,,,,"total consumption (q), (t WWT/m2/d)-->",1,1,5525.84691,9836.95124,1339.46118,4834.25547,3.63E+02,3.50E+03,636.39723,1.23E+01,3.26E+01,191.269469,218.190232,220.528651,3.02929511,5.2754723,2.34E+03,6.64E+02,2.37E+02,2.29E+01,4.37E-02,4.59E+01,8.22E+00,6.69E+00,2.55E+01,1.91E+01,0.46933379,1.39E+00,4.32E-01,0.313070975,9.31E-02,5.84E-01,5.39E-02,3.49E-01,0.168862226,7.4756699,6.60E+00,2.05E+00,4.20E-01,1.76E-01,4.51E-02,3.92E+01,5.14E+00,4.19682921,6.51103399,51.3758882,5.06E-01,3.04234788,1.50345589,3.76690594,3.88E+00,20.8737504,3.50582121,0.288071074,20.6942072,9.99772905,0.77017911,11.3770543,56.3094374,3.86146161,817.989501,108.289094,127.98522,190.478562,64.3125632,437.119496,243.189224,81.1787776,14.9753289,1.98492819,270.105836,1.0403394,0.891704484,0.040934481,0.122860758,0.056892473,0.059469476,0.039546054,0.007583252,0.867377085,3.5427458,0.143536609,0.894671033,0.924639022,1.53188464,0.346394595,0.003683092,0.042170315,363.234837,10.8979303,1264.14121,0.161241694,3670.18794,2.37E-02,0.029306877,0.044636596,0.040919742,0.072956551,0.035196242,2.76540863,0.278831681,0.060255859,,total INPUT,em terms,adjusted INPUT,total OUTPUT,landings,bnth detr sequestration,adjusted output,ERROR,
,consumers down rows ?,,NO3,pelagic NH4,benthic NH4,P1: large phytoplankton,P2: small phytoplankton,MZ: micro-zooplankton,Z1ai: copepods (large >= 0.025mg C),Z1aii: copepods (small < 0.025mg C),Z1b: small invertebrate larvae,Z1d: pteropods,Z2a: pelagic amphipods,Z2b: pelagic shrimp (Sergestidae Panaeidae),Z2c: other macro-zooplankton,Z2g: small jellyfish (net-feeders),Z2e: small jellyfish (carnivores),Z2f: large jellyfish,Z2g: pyrosomes,Z3a: E. pacifica (adult & juveniles),Z3b: T. spinifera (adult & juveniles),Ca: small cephalopod aggregate,Cb: cephalopod humboldt,PlnkF1a: smelt aggregate,PlnkF1b: shad,PlnkF1c: sardine,PlnkF1d: herring,PlnkF1e: anchovy,PlnkF1f: saury,PlnkF2a: coho yearling,PlnkF2bi: Chinook yearling Sp,PlnkF2bii: Chinook yearling Fa,PlnkF2biii: Chinook subyearling Fa early,PlnkF2biv: Chinook subyearling Fa late,PlnkF2bv: other Chinook yearling,PlnkF2bvi: other Chinook subyearling,PlnkF2c: other juvenile salmon,PlnkF3: mesopelagic fish aggregate,PlnkF4: planktivorous rockfish,PiscF1a: coho,PiscF1b: Chinook,PiscF1c: other salmon aggregate,PiscF2: shark aggregate,PiscF3a: jack mackerel,PiscF3b: Pacific mackerel,PiscF4: piscivorous rockfish,PiscF5: dogfish aggregate,PiscF6: hake,PiscF10: tuna aggregate,PiscF7: sablefish,PiscF8: Hexagrammidae (lingcod greenling),PiscF9: flatfish (water-column feeders),BnthF1: skates & rays,BnthF2: misc. small benthic fishes,BnthF3: benthivorous rockfish,BnthF4: Gadidae (cod haddock pollock),BnthF5: flatfish (benthic feeders),BnthF6: flatfish (small),BnthF7: grenadier,JuvF1: juvenile rockfish,JuvF2: juvenile fish (other),JuvF3: juvenile fish (chondrichthys),DepB1: infauna,DepB2a: Pandalus spp.,DepB2b: other epibenthic shrimp (Caridea),DepB3: mysids,DepB4: echinoderms,DepB5: benthic amphipods isopods and cumaceans,SspB2: bivalves,SspB3: misc. epifauna (suspension feeders),CrnB1: Dungeness crab,CrnB2: Tanner crab,CrnB3: misc. epifauna (carnivorous),SB1: sooty shearwaters,SB2: common murre,SB3: gulls & terns,SB4: alcids,SB5: large pelagic seabirds,SB6: other pelagic seabirds,SB7: coastal seabirds (divers),SB8: storm-petrels,PlnkMM1: gray whales,PlnkMM2: baleen whales,PiscMM1: small pinnipeds,PiscMM2a: sea lions,PiscMM2b: N elephant seals,PiscMM3: small toothed whales,PiscMM4: large toothed whales,PiscMM5a: other killer whales,PiscMM5b: Southern resident killer whales,Z1c: invertebrate eggs,Z2d: fish eggs,D1: pelagic detritus,D2: fishery offal,D3: benthic detritus,Fishery1: dredge,Fishery2: Hook & line,Fishery3: Other gear,Fishery4: Net,Fishery5: pot & trap,Fishery6: Trolling,Fishery7: Trawl (non-shrimp),Fishery8: Shrimp trawls,FshryR1: recreational fishery,,,,,,,,,,,,consumers down rows ?,,,,NOTE: q calculated from ECOTRAN driven by primary production with nutrient cycling deactivated.,NO3,pelagic NH4,benthic NH4,P1: large phytoplankton,P2: small phytoplankton,MZ: micro-zooplankton,Z1ai: copepods (large >= 0.025mg C),Z1aii: copepods (small < 0.025mg C),Z1b: small invertebrate larvae,Z1d: pteropods,Z2a: pelagic amphipods,Z2b: pelagic shrimp (Sergestidae Panaeidae),Z2c: other macro-zooplankton,Z2g: small jellyfish (net-feeders),Z2e: small jellyfish (carnivores),Z2f: large jellyfish,Z2g: pyrosomes,Z3a: E. pacifica (adult & juveniles),Z3b: T. spinifera (adult & juveniles),Ca: small cephalopod aggregate,Cb: cephalopod humboldt,PlnkF1a: smelt aggregate,PlnkF1b: shad,PlnkF1c: sardine,PlnkF1d: herring,PlnkF1e: anchovy,PlnkF1f: saury,PlnkF2a: coho yearling,PlnkF2bi: Chinook yearling Sp,PlnkF2bii: Chinook yearling Fa,PlnkF2biii: Chinook subyearling Fa early,PlnkF2biv: Chinook subyearling Fa late,PlnkF2bv: other Chinook yearling,PlnkF2bvi: other Chinook subyearling,PlnkF2c: other juvenile salmon,PlnkF3: mesopelagic fish aggregate,PlnkF4: planktivorous rockfish,PiscF1a: coho,PiscF1b: Chinook,PiscF1c: other salmon aggregate,PiscF2: shark aggregate,PiscF3a: jack mackerel,PiscF3b: Pacific mackerel,PiscF4: piscivorous rockfish,PiscF5: dogfish aggregate,PiscF6: hake,PiscF10: tuna aggregate,PiscF7: sablefish,PiscF8: Hexagrammidae (lingcod greenling),PiscF9: flatfish (water-column feeders),BnthF1: skates & rays,BnthF2: misc. small benthic fishes,BnthF3: benthivorous rockfish,BnthF4: Gadidae (cod haddock pollock),BnthF5: flatfish (benthic feeders),BnthF6: flatfish (small),BnthF7: grenadier,JuvF1: juvenile rockfish,JuvF2: juvenile fish (other),JuvF3: juvenile fish (chondrichthys),DepB1: infauna,DepB2a: Pandalus spp.,DepB2b: other epibenthic shrimp (Caridea),DepB3: mysids,DepB4: echinoderms,DepB5: benthic amphipods isopods and cumaceans,SspB2: bivalves,SspB3: misc. epifauna (suspension feeders),CrnB1: Dungeness crab,CrnB2: Tanner crab,CrnB3: misc. epifauna (carnivorous),SB1: sooty shearwaters,SB2: common murre,SB3: gulls & terns,SB4: alcids,SB5: large pelagic seabirds,SB6: other pelagic seabirds,SB7: coastal seabirds (divers),SB8: storm-petrels,PlnkMM1: gray whales,PlnkMM2: baleen whales,PiscMM1: small pinnipeds,PiscMM2a: sea lions,PiscMM2b: N elephant seals,PiscMM3: small toothed whales,PiscMM4: large toothed whales,PiscMM5a: other killer whales,PiscMM5b: Southern resident killer whales,Z1c: invertebrate eggs,Z2d: fish eggs,D1: pelagic detritus,D2: fishery offal,D3: benthic detritus,Fishery1: dredge,Fishery2: Hook & line,Fishery3: Other gear,Fishery4: Net,Fishery5: pot & trap,Fishery6: Trolling,Fishery7: Trawl (non-shrimp),Fishery8: Shrimp trawls,FshryR1: recreational fishery,,(sum across columns of CONSUMPTION matrix),"(emigration from total input * em fraction in ConsumptionBudget, e.g. cell D79; does NOT include fleets)",,(active link to column sums of CONSUMPTION matrix),,,,(note that cannibalism is already accounted for),
,,NO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,NO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,1,,,1,-1,"<<--no error, NO3 input is forced"
,,pelagic NH4,0,0,0,0,0,0.450000006,0.275,0.275,0.275,0.250343216,0.275,0.292728627,0.282701191,0.249999994,0.249999994,0.275,0.249999994,0.275,0.275,0.275371079,0.276836039,0.55,0.55,0.602553951,0.556665787,0.554002964,0.55,0.550369511,0.550074911,0.550187318,0.557544214,0.556599489,0.55,0.550130844,0.550010629,0.1375,0.699999999,0.629999998,0.629999998,0.629999998,0.745192753,0.700361806,0.700315528,0.719130579,0.360391305,0.350174999,0.699999999,0.53309956,0.528100649,0.30039905,0.175,0.175,0.175090018,0.175089596,0.175,0.149999999,0.149999999,0.554666974,0.560677294,0.1375,0,0,0,0,0,0,0,0,0,0,0,0.798630137,0.797652778,0.989517379,0.798463636,0.799098667,0.798630137,0.877051444,0.799166667,0.792921348,0.794736842,0.802623626,0.797083333,0.901050736,0.796124031,0.792889562,0.797759254,0.797759254,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,pelagic NH4,0,0,0,0,0,2175.414991,99.87284588,961.5375853,175.0092383,3.083036137,8.955296653,55.99004905,61.68263845,55.13216143,0.757323759,1.450754883,584.509951,182.7243399,65.24048273,6.31576771,0.012101843,25.23281332,4.523167462,4.029654638,14.20619739,10.55843978,0.258133585,0.764801987,0.237487417,0.17224768,0.051886685,0.3250616,0.029658871,0.191740975,0.092876019,1.027904611,4.617516218,1.292378039,0.264756249,0.110600972,0.033584716,27.48703754,3.602540715,3.01806822,2.346520037,17.9905516,0.353926313,1.621874316,0.793976031,1.131574966,0.678753224,3.65290632,0.613834299,0.050438248,3.62148626,1.499659348,0.115526866,6.310476282,31.57142299,0.530950971,0,0,0,0,0,0,0,0,0,0,0,0.830846398,0.711270559,0.040505381,0.098099848,0.045462699,0.047494115,0.034683924,0.006060282,0.687761807,2.815550609,0.115205874,0.713127369,0.833146671,1.219570175,0.274652659,0.002938221,0.033641759,0,0,632.070605,0,0,0,0,0,0,0,0,0,0,0,,5253.281619,,5253.281619,1,,,1,5252.281619,<<--no error
,,benthic NH4,0,0,0,0,0,0,0.275,0.275,0.275,0.250343216,0.275,0.292728627,0.282701191,0.249999994,0.249999994,0.275,0.249999994,0.275,0.275,0.275371079,0.276836039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4125,0,0,0,0,0,0,0,0,0.360391305,0.350174999,0,0.177699853,0.17603355,0.30039905,0.524999999,0.524999999,0.525270054,0.525268788,0.524999999,0.449999998,0.449999998,0,0,0.4125,0.55,0.55,0.550733333,0.600749801,0.719999998,0.599999997,0.599999997,0.599999997,0.661541764,0.55,0.600749997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,benthic NH4,0,0,0,0,0,0,99.87284588,961.5375853,175.0092383,3.083036137,8.955296653,55.99004905,61.68263845,55.13216143,0.757323759,1.450754883,584.509951,182.7243399,65.24048273,6.31576771,0.012101843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.083713834,0,0,0,0,0,0,0,0,2.346520037,17.9905516,0,0.540624771,0.264658678,1.131574966,2.036259667,10.95871894,1.841502896,0.151314744,10.86445876,4.498978053,0.346580598,0,0,1.592852914,449.8942256,59.5590017,70.48572679,114.4299582,46.30504538,262.2716963,145.9135337,48.70726632,9.906805497,1.091710505,162.2660802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1835.09397,0,0,0,0,0,0,0,0,0,,5525.846903,,5525.846903,5525.84691,,,5525.84691,-6.61983E-06,<<--no error
,,P1: large phytoplankton,0.88015285,0.88015285,0.88015285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,P1: large phytoplankton,0.88015285,0.88015285,4863.589907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4865.350212,,4865.350212,9836.951245,,,9836.951245,-4971.601033,"<<--no error, PP input is forced"
,,P2: small phytoplankton,0.11984715,0.11984715,0.11984715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,P2: small phytoplankton,0.11984715,0.11984715,662.2570035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,662.4966978,,662.4966978,1339.46118,,,1339.46118,-676.9644819,"<<--no error, PP input is forced"
,,MZ: micro-zooplankton,0,0,0,0.405664547,0.393827784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25015882,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,MZ: micro-zooplankton,0,0,0,3990.502369,527.5170283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.2360734,0,0,0,0,0,0,0,0,0,0,0,,4834.25547,,4834.25547,4834.25547,,,4834.25547,-9.87648E-08,
,,Z1ai: copepods (large >= 0.025mg C),0,0,0,0.026618613,0.024620539,0.014138627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,Z1ai: copepods (large >= 0.025mg C),0,0,0,261.8459952,32.97825662,68.3497325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,363.1739843,,363.1739843,363.173985,,,363.173985,-6.79117E-07,
